Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic,Median Household Income,% over 25 completed hs,% below poverty level,Police Killings Yes/No
NY,Putnam Lake CDP,88,3.8,0.2,1.7,13.8,82083,88.3,2.9,
NY,Quiogue CDP,80,8.2,1,2.1,19,68056,94.8,10.5,
NY,Quogue village,91.8,1.8,0.2,1,6,85000,98,6.2,
NY,Randolph village,97.3,0,0.4,0.1,1.7,(X),76.5,10.7,
NY,Ransomville CDP,96.1,1.1,0.8,0.2,1.8,69875,91.7,12.8,
NY,Rapids CDP,95.5,1.7,0.1,1.1,1.2,65357,91.7,2,
NY,Ravena village,90.2,4.4,0.2,0.9,7.5,48895,90.8,12,
NY,Red Creek village,97,1.3,0.9,0.4,3,34028,84.9,24.1,
NY,Redford CDP,96.4,1,0,0,0.6,(X),93.7,43.4,
NY,Red Hook village,91.4,1,0.3,3.5,6.5,50153,90.1,13.6,
NY,Red Oaks Mill CDP,86,6.2,0.2,3.7,7.9,76855,97.2,5.7,
NY,Redwood CDP,97.7,0.5,0.3,0.2,2,36891,69.4,9.8,
NY,Remsen village,98,0.6,0,0.2,0.6,40769,88.8,25.5,
NY,Remsenburg-Speonk CDP,93.1,1.2,0.1,0.8,7.9,103575,98.9,10.6,
NY,Rensselaer city,80.2,8,0.3,6.1,4.8,43560,83.2,16.9,
NY,Rensselaer Falls village,95.5,0.9,1.2,0.3,3,31691,89.2,22.1,
NY,Retsof CDP,95.9,1.2,0,0,1.2,70156,100,0,
NY,Rhinebeck village,91.9,1.7,0,2.1,6.7,46944,93.3,11.2,
NY,Rhinecliff CDP,93.4,2.8,0,0.7,1.9,62331,88.6,2.1,
NY,Richburg village,98.9,0,0,0.7,0.4,38125,87.6,29.3,
NY,Richfield Springs village,96.5,0.4,0.9,1,1.3,34393,82.6,16.4,
NY,Richmondville village,95.9,1.3,0.5,0.3,3.3,43214,78.6,12.5,
NY,Richville village,98.5,0.3,0,0,0.9,47250,89,16.8,
