Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic,Median Household Income,% over 25 completed hs,% below poverty level,Police Killings Yes/No
OR,Stanfield city,66.9,0.1,1.6,0.1,35.9,51016,81.7,12.3,
OR,Stayton city,87.7,0.5,1.4,0.7,14.3,43636,80.8,21,
OR,Sublimity city,95.8,0.2,0.5,0.4,3.1,51343,94.3,10,
OR,Summerville town,97,0,0,0,2.2,38750,96.4,0,
OR,Summit CDP,95.1,0,0,0,11,28935,53.2,43.4,
OR,Sumpter city,92.2,0,2.5,0.5,1,19750,94.5,25.7,
OR,Sunriver CDP,96.9,0.6,0.3,0.5,1.6,48506,98.6,8.6,
OR,Sutherlin city,92.4,0.2,1.9,0.6,6.1,33859,84.7,24.2,
OR,Sweet Home city,93.3,0.3,1.3,0.8,4.7,35076,88.9,23.8,
OR,Takilma CDP,90.5,1.6,2.4,0.5,0.5,(X),100,5.6,
OR,Talent city,87,0.8,1.3,0.9,15.6,36528,90.4,20.6,
OR,Tangent city,89.4,0.2,0.8,0.3,8.4,44643,87.2,15.2,
OR,Terrebonne CDP,90.4,0.4,1.5,0.4,8.8,57463,91.7,15.1,
OR,Tetherow CDP,86.7,0,0,0,2.2,(X),100,0,
OR,The Dalles city,87.9,0.5,1.5,1,17,41311,84.2,15.4,
OR,Three Rivers CDP,95.4,0.2,0.9,0.4,3.9,45833,98.1,11.7,
OR,Tigard city,79.6,1.8,0.7,7.2,12.7,62048,91.9,11.6,
OR,Tillamook city,86.5,0.2,1.5,1.1,17.2,29889,86.3,31.6,
OR,Toledo city,89.9,0.6,3.8,0.5,4.7,46406,82.7,20.6,
OR,Trail CDP,94.2,0,2.3,0,3.4,(X),84.6,13,
OR,Tri-City CDP,91.8,0.1,3,0.6,4.5,39160,84.2,24.1,
OR,Troutdale city,83.6,2.1,1,4.6,10.6,60340,91.3,14.5,
OR,Tualatin city,80.4,1.2,0.7,3.5,17.3,66384,92.5,11.7,
OR,Tumalo CDP,95.7,0.2,0.8,0.2,3.3,125625,93.1,5.2,
OR,Turner city,93.2,0.6,1.7,0.5,7.3,57850,90.4,12.6,
OR,Tutuilla CDP,63,0.2,30.8,0,6.2,58750,83.6,14.3,
OR,Tygh Valley CDP,90.8,0,4.9,0,1.5,52206,95,17.2,
OR,Ukiah city,90.3,0,2.2,3.2,4.3,39634,83.5,26.5,
OR,Umapine CDP,91.7,0,1.9,1,14.3,34331,76.2,3,
OR,Umatilla city,70.1,2.3,1.5,0.6,43.1,38461,83.8,26,
OR,Union city,95.6,0.1,1.1,0.1,2.3,41705,90.4,7.5,Yes
OR,Unity city,83.1,0,4.2,12.7,8.5,41250,91.7,26,
OR,Vale city,86.7,0.3,1.3,0.4,23.4,34950,82.3,23.6,
OR,Veneta city,91.8,0.4,1.4,0.8,5.5,41558,83.5,25.2,
OR,Vernonia city,94.1,0.3,1.3,0.5,4.2,50268,87.3,18.3,
OR,Waldport city,91.2,0.8,1.1,1,3.3,42955,91.5,13.8,
OR,Wallowa city,95.9,0.5,0.4,0,2,24688,90.6,29.9,
OR,Wallowa Lake CDP,96.8,0,1.6,0,1.6,-,100,100,
OR,Wamic CDP,90.6,1.2,2.4,0,12.9,68000,91.8,16.4,
OR,Warm Springs CDP,2.6,0.1,91.7,0,8.4,75025,73.9,7.5,
OR,Warren CDP,93.6,0.3,1,1.2,2.9,32500,91.3,16.9,
OR,Warrenton city,91.5,0.6,1.3,1.1,5.7,18472,62.4,45.2,
OR,Wasco city,95.6,0.5,0.7,0.2,2,39580,51.1,32.7,
OR,Waterloo town,96.5,0,1.3,0,5.7,39167,73.6,18.2,
OR,Westfir city,92.1,0.4,1.6,0.4,2,42500,93.2,12.5,
OR,West Haven-Sylvan CDP,87.4,1,0.3,6.3,4.1,86299,98.7,4,
OR,West Linn city,90.7,0.7,0.3,4,4,85464,98.1,4.8,
OR,Weston city,83.5,0.3,3.4,3.1,8.5,93814,97.2,7.2,
OR,Westport CDP,92.8,0,0.6,0,12.8,162907,98.9,4.7,
OR,West Scio CDP,85,0,1.7,0,8.3,(X),100,0,
OR,West Slope CDP,85.6,1.9,0.4,4.3,6.7,69799,95.7,8.8,
OR,Wheeler city,96.6,0,0.2,0.5,3.4,34896,93.6,9,
OR,White City CDP,74.7,1.3,1.3,0.8,28.8,56563,89.3,18.1,
OR,Willamina city,82.1,0.3,8.8,0.1,6,40577,85.1,22.8,
OR,Williams CDP,93.9,0.5,1.8,0.7,3.2,43139,94.2,27,
OR,Wilsonville city,85.3,1.5,1,3.8,12.1,60672,95.3,10,
OR,Wimer CDP,95.4,0,1.6,0,4.3,34792,98.1,16.5,
OR,Winchester Bay CDP,93.7,0,0.3,0.5,7.9,56198,91.2,5.9,
OR,Winston city,92.5,0.3,1.6,0.9,4.5,32610,89.3,29.3,
OR,Woodburn city,60.4,0.5,2.8,0.8,58.9,52989,89.6,8.4,
OR,Wood Village city,62.6,2,2.3,3.8,37,37140,74.8,33.2,
OR,Yachats city,95.2,0.1,1.7,0.6,4.8,43352,95.6,15.2,
OR,Yamhill city,91.2,0.1,1.3,1.1,5.5,70208,95.2,7.9,
OR,Yoncalla city,92.3,0,1.7,0.5,4.6,34375,83.9,23.2,
PA,Aaronsburg CDP (Centre County),99.2,0.2,0,0,0.5,52708,92.2,8.5,
PA,Aaronsburg CDP (Washington County),90.7,1.5,1.2,0,1.5,60268,83.1,29.5,
PA,Abbottstown borough,92.7,1.4,0.1,1,9.4,56641,80.7,7.8,
PA,Ackermanville CDP,98.2,0.5,1,0.2,2.5,90775,84.3,0,
PA,Adamsburg borough,97.7,1.2,0,1.2,0.6,49583,91.3,18.7,
PA,Adamstown borough,92.3,1.1,0.3,4.4,1.7,65862,91.7,4.2,
PA,Adamsville CDP,91,9,0,0,0,29375,81,5.9,
PA,Addison borough,98.1,0.5,1,0,0,44375,86.5,8.9,
PA,Akron borough,94.7,1.2,0.2,1.5,3.9,54799,85.9,6.5,
PA,Alba borough,97.5,1.9,0,0,2.5,31875,85.9,22,
PA,Albion borough,96.6,0.9,0.3,0.1,1.8,46818,88.8,15.7,
PA,Albrightsville CDP,94.6,2.5,0,1,6.9,(X),92,9.5,
PA,Alburtis borough,93,2,0.1,1.3,5.5,73182,92.1,8.3,
PA,Aldan borough,76.3,18.5,0.1,2.6,2.1,62212,94,7.9,
PA,Alexandria borough,98.6,0.3,0,0.3,1.4,51932,93.2,9.5,
PA,Alfarata CDP,99.3,0,0.7,0,0,(X),75.2,0,
PA,Aliquippa city,57.6,38.6,0.1,0.4,1.3,30851,88.2,29.7,
PA,Alleghenyville CDP,98.2,0.4,0,1,1.6,83795,94.4,3.4,
PA,Allenport CDP,98.3,0.9,0,0,1.4,30446,89.6,17.6,
PA,Allenport borough,99.1,0.6,0,0,0.2,56125,91,12.3,
PA,Allensville CDP,98.6,0.8,0,0,0,40625,58.9,7.6,
PA,Allentown city,58.5,12.5,0.8,2.2,42.8,28958,83.4,30,
PA,Allenwood CDP,95,4.4,0,0.3,1.2,94750,97.6,0,
PA,Allison CDP,89,8.3,0.2,0.5,0.2,35943,95.6,15.1,
PA,Allison Park CDP,94.4,1.5,0.1,3.1,0.9,76588,96.7,5.7,
PA,Allport CDP,98.9,0.4,0,0,1.1,(X),85.3,42.9,
PA,Almedia CDP,97.6,0.8,0,0.6,0.4,45750,92.2,13.5,
PA,Alsace Manor CDP,98.7,0.2,0.2,0,0.6,43720,84.9,3.2,
PA,Altamont CDP,98.3,0.2,0,0.2,1.3,40245,89.3,17.7,
PA,Altoona city,93.8,3.3,0.1,0.4,1.3,69748,94.9,6.1,
PA,Ambler borough,76.5,12.8,0.2,3.8,7.9,57108,91.7,6.6,
PA,Ambridge borough,77.5,17,0.1,0.4,2.5,32169,88.1,20.9,
PA,Amity Gardens CDP,93.3,2.8,0,1.3,2.9,66736,93.9,6.3,
PA,Ancient Oaks CDP,86,2.6,0.2,8.1,4.8,84219,96.3,2,
PA,Annville CDP,94.4,1.5,0.1,1.4,3.8,(X),68.2,14.4,
PA,Apollo borough,94.4,2.3,0.2,0.5,0.9,38250,84.2,20.1,
PA,Applewold borough,98.1,0.3,0,0,1,44167,89,7.2,
PA,Arcadia University CDP,83.9,8.2,0.2,3.7,7.2,-,100,-,
PA,Archbald borough,96.9,1.1,0.2,0.7,1.1,50133,92.5,11.7,
PA,Ardmore CDP,79.3,12.9,0.1,4.1,4,76301,94.1,9.2,
PA,Arendtsville borough,83,2.8,0.5,0.5,16.4,51700,81.4,20.1,
PA,Aristes CDP,100,0,0,0,0,56250,95.2,8.7,
PA,Arlington Heights CDP,77.9,9.6,0.2,4.4,12.7,60179,91.8,12.5,
PA,Armagh borough,97.5,0.8,0.8,0,0.8,75833,93,0,
PA,Arnold city,74,20,0.2,0.2,2.3,55929,86.3,9.3,
PA,Arnold City CDP,82.3,9.2,0,0.2,1.6,18309,86,13.1,
PA,Arnot CDP,100,0,0,0,0,53125,79.6,12.6,
PA,Arona borough,100,0,0,0,0,42143,85.1,12.7,
PA,Ashland borough,98.2,0.2,0.1,0.3,1,34132,86.1,19.9,
PA,Ashley borough,95.2,2.1,0,0.3,2.4,40347,88.1,14,
PA,Ashville borough,97.4,0.9,0,0,0.9,37500,85.9,17.1,
PA,Aspers CDP,82.6,1.7,0,0,25.4,70947,88.7,9.8,
PA,Aspinwall borough,91.7,1.4,0,5.4,1.9,64125,96.7,6.1,
PA,Atglen borough,89,7.4,0.1,0.2,5.8,59167,84.9,4.7,
PA,Athens borough,97.1,0.9,0.1,0.5,1.4,35833,91.3,25.9,
PA,Atkinson Mills CDP,98.3,0,0,0,0,81500,83.6,8.9,
PA,Atlantic CDP,100,0,0,0,0,48250,86.5,24,
PA,Atlas CDP,97.7,1.7,0,0,1.1,47206,89.2,2.9,
PA,Atlasburg CDP,99.5,0,0,0,0.5,41534,100,10.6,
PA,Atwood borough,100,0,0,0,0,51500,83.1,7.4,
PA,Auburn borough,97.7,0.4,0,0.3,1.3,45000,80.6,5.4,
PA,Audubon CDP,79.5,5.2,0,13.4,2.3,86944,97.2,5.7,
PA,Austin borough,100,0,0,0,0,45833,89.7,12.2,
PA,Avalon borough,87.5,8.7,0.4,0.5,1.2,83523,97.7,4.6,
PA,Avella CDP,96.4,1.9,0.2,0.1,1,63333,84.1,10.7,
PA,Avis borough,98.7,0.5,0,0.3,0.5,50208,91.5,9.4,
PA,Avoca borough,97.8,0.7,0,0.3,1.8,51500,91.9,9.8,
PA,Avon CDP,94.8,1.4,0,0.5,7.6,41250,91.8,20.3,
PA,Avondale borough,57.7,8.9,1.4,0.8,59,68516,57.2,13.6,
PA,Avonia CDP,98.5,0.1,0,0.6,0.8,72692,97.4,1.4,
PA,Avonmore borough,97.4,1.4,0,0.1,0.5,40956,88.5,8.9,
PA,Baden borough,96.9,1.5,0.1,0.3,0.9,37140,91.1,9.3,
PA,Baidland CDP,98.8,0.4,0.1,0.1,1.6,71288,90.7,2.5,
PA,Baileyville CDP,95.5,0,1.5,0.5,1.5,41477,88.4,1.7,
PA,Bainbridge CDP,97,1.1,0.2,0.2,1.6,98839,98.9,2.5,
PA,Bairdford CDP,99.1,0.4,0,0,1.1,77835,96,1.8,
PA,Bakerstown CDP,97.3,0.6,0.3,1,1.8,85950,96.6,3,
PA,Baldwin borough,91.6,5.3,0.1,1.2,1.1,53660,92.9,8.1,
PA,Bally borough,97.5,0.6,0.1,0.6,1.4,57193,90.2,5.6,
PA,Bangor borough,94.9,1.2,0.1,0.2,5,42112,88.3,11.1,
PA,Barkeyville borough,96.6,0,0,0.5,5.3,61042,87.6,8.6,
PA,Barrville CDP,98.8,0.6,0,0.6,0,(X),20,7.1,
PA,Bath borough,92.6,2.9,0.3,1,6.6,40147,86.1,16,
PA,Baumstown CDP,95,3.6,0,0.7,1.4,(X),86.5,0,
PA,Beallsville borough,98.1,0.4,0.2,0.6,0.6,56528,88.8,0.2,
PA,Bear Creek Village borough,98.4,0,0.8,0.4,0,90250,89,16.8,
PA,Bear Lake borough,90.9,0,0,0,7.9,33000,73.1,20.3,
PA,Bear Rocks CDP,98.8,0.1,0.3,0.3,0.5,67865,98.8,8.5,
PA,Beaver borough,95.9,1.4,0.1,0.9,1.7,47021,94,9,
PA,Beaverdale CDP,99.4,0,0,0,0.1,57232,90.2,8.6,
PA,Beaver Falls city,75.3,19.3,0.2,0.4,1.2,29031,83.7,31.4,
PA,Beaver Meadows borough,97,0.5,0.1,0.2,2.6,37179,93.8,17.2,
PA,Beaver Springs CDP,98.8,0.1,0,0.1,0.1,34167,84.1,22.6,
PA,Beavertown borough,98.3,0.2,0,0.2,0.6,48646,90.1,12.6,
PA,Bechtelsville borough,98.3,0.2,0.1,0.1,1.3,63333,91,4.7,
PA,Bedford borough,96.1,1.2,0.1,0.5,2,41990,92.5,13.3,
PA,Beech Creek borough,99.3,0,0.1,0.1,0.6,49239,87.6,12.8,
PA,Beech Mountain Lakes CDP,94,1.9,0.1,0.9,3.5,81417,94.9,3.9,
PA,Belfast CDP,97.4,0.8,0.1,0.8,2.7,35078,87.9,14.9,
PA,Bell Acres borough,94.2,2.7,0.1,1.3,1.3,84479,95.4,6.1,
PA,Bellefonte borough,96.3,1.5,0.1,0.5,1.4,42364,90.2,15.1,
PA,Belle Vernon borough,94.4,3.5,0.2,0.5,1.6,26219,81.5,28.3,
PA,Belleville CDP,99.1,0.1,0.1,0,1.6,28784,83.6,45.6,
PA,Bellevue borough,86.8,8.9,0.1,1.1,1.9,39877,92.4,15.8,
PA,Bellwood borough,98.2,0.3,0.2,0.1,1,47031,92.8,12.2,
PA,Belmont CDP,96.8,1.1,0,1.1,0.8,66375,96.5,4.9,
PA,Ben Avon borough,93.7,3.6,0.1,0.8,1.1,86875,98.6,3,
PA,Ben Avon Heights borough,97.8,0.3,0,0.3,0.8,151250,99.6,2.5,
PA,Bendersville borough,84.4,1.7,1.1,0.5,21.1,57292,84.3,22.3,
PA,Benson borough,99,0,0.5,0,1,36250,86.1,27.1,
PA,Bentleyville borough,95.4,2.7,0,0.2,0.7,39224,88.7,25.6,
PA,Benton borough,98.7,0.2,0,0.5,1.5,34792,86.7,28.1,
PA,Berlin borough,98.3,0.2,0.1,0.4,0.2,82429,89.1,8.1,
PA,Bernville borough,94.1,1.4,0.3,0.1,7.6,48750,85.1,10.4,
PA,Berrysburg borough,100,0,0,0,0,51827,84.2,4.2,
PA,Berwick borough,94.4,1.5,0.2,0.8,3.7,35445,84.4,21.3,
PA,Berwyn CDP,89.3,4.6,0.2,4.1,2.3,85093,97.8,4.2,
PA,Bessemer borough,98.3,0.1,0,0.4,0.6,44107,90,8.9,
PA,Bethany borough,98,1.6,0.4,0,1.6,50000,98.1,11.5,
PA,Bethel CDP,94,0.2,0,1.8,6.2,75038,92.7,4.2,
PA,Bethel Park municipality,96.1,1.3,0.1,1.4,1,70264,95.9,4.4,
PA,Bethlehem city,76.4,6.9,0.3,2.9,24.4,47291,87,17.5,
PA,Beurys Lake CDP,100,0,0,0,0.8,60536,92.5,4.1,
PA,Big Bass Lake CDP,94.6,2.3,0,0.9,5,56667,88.2,8.3,
PA,Big Beaver borough,97.4,1.5,0,0.2,0.7,60625,92.4,6.6,
PA,Bigler CDP,98.5,0,0,0,0.8,48063,79.4,30.4,
PA,Biglerville borough,91.7,0.8,0.1,0.3,19.1,46923,81.9,14.2,
PA,Big Run borough,98.6,0,0.6,0,0.3,41917,94.5,6.6,
PA,Birchwood Lakes CDP,96.3,1.5,0,0.4,6,49722,85,29.7,
PA,Bird-in-Hand CDP,94.5,2,0,1.7,5.7,45769,59.9,15.7,
PA,Birdsboro borough,95.5,1.4,0.2,0.3,3.2,61078,89.9,9.7,
PA,Birmingham borough,97.8,0,0,1.1,6.7,56250,97.4,3.7,
PA,Black Lick CDP,95.8,2.5,0.3,0.1,1.8,25000,84.7,18.6,
PA,Blain borough,99.2,0,0,0,0,50313,87.4,26.4,
PA,Blairsville borough,95.1,2.3,0.3,0.7,1.2,41089,93.5,11.9,
PA,Blakely borough,96.6,1,0.1,0.7,1.8,39844,92.6,17.8,
PA,Blanchard CDP,97.6,0,1.1,0.3,0.4,73036,100,0,
PA,Blandburg CDP,97.5,1.2,0,0.2,0,36607,94.4,13.6,
PA,Blandon CDP,91.1,3.6,0.1,1.5,5.9,76316,91.5,5.7,
PA,Blawnox borough,92.9,1.9,0.1,4,0.8,35833,89.4,13.7,
PA,Bloomfield borough,95,1.9,0.1,1.7,1.3,50093,87.5,12.5,
PA,Blooming Valley borough,99.4,0.3,0,0,0.3,52679,90.3,12.7,
PA,Bloomsburg town,89.6,6.2,0.1,1.6,3.4,28071,87.8,34.1,
PA,Blossburg borough,98.6,0.1,0.4,0.4,1.3,44545,86.9,15.9,
PA,Blue Ball CDP,94.3,0.6,0.5,3.1,1.5,70313,83.2,4.2,
PA,Blue Bell CDP,87.8,2.9,0,8.1,1.5,120602,98.7,1.7,
PA,Blue Ridge Summit CDP,92.9,1.8,0.3,2.2,1.8,43487,92.4,7.4,
PA,Boalsburg CDP,93.5,2.2,0.1,2,1.6,77275,95.7,10.9,
PA,Bobtown CDP,96.7,0.4,0.3,0.4,1.5,38125,85,11.7,
PA,Boiling Springs CDP,96.2,0.6,0.1,1.4,2.1,75208,97.9,4.3,
PA,Bolivar borough,98.9,0,0.4,0.4,0.9,45938,89.9,11.2,
PA,Bonneauville borough,93.4,1.9,0.1,0.9,4.6,55167,88.5,11.8,
PA,Boothwyn CDP,87.3,8.1,0.3,1.7,2.6,53510,91.9,8.9,
PA,Boston CDP,95.8,1.1,0,0,1.8,55625,55.7,43.9,
PA,Boswell borough,97.7,0.6,0,0.5,0.4,28304,87.1,18.6,
PA,Bowers CDP,97.9,0.6,0.9,0.3,2.1,73182,76.9,12.1,
PA,Bowmanstown borough,96.3,0.5,0.4,0.6,2.7,49412,89.8,10.2,
PA,Bowmansville CDP,97,0.5,0.2,1,1.9,71667,92.6,5,
PA,Boyertown borough,97.5,0.5,0,0.6,1.1,39345,84.7,13.4,
PA,Brackenridge borough,93.3,4.3,0.1,0.3,0.7,42560,92.5,12.3,
PA,Braddock borough,22.9,72.7,0.7,0.1,1.9,23591,84.7,37.2,
PA,Braddock Hills borough,68.9,27.9,0.3,0.3,1.4,30871,90.4,17.8,
PA,Bradenville CDP,99.1,0.7,0,0.2,0.7,42471,88.7,6.5,
PA,Bradford city,96.3,1,0.4,0.7,1.4,28125,76.2,29.9,
PA,Bradford Woods borough,97.4,0.6,0,0.9,0.5,102308,97.9,3.7,
PA,Branchdale CDP,97.4,0.3,0,0.8,1.3,42222,92.4,30.6,
PA,Brandonville CDP,100,0,0,0,0,53333,92.2,10.5,
PA,Brave CDP,98.5,0,1,0,0,45893,77.8,8.5,
PA,Breinigsville CDP,79.9,5.2,0.5,11.1,7.1,86084,96.2,3.9,
PA,Brentwood borough,95.2,2,0.2,0.8,1.8,51685,93.3,8.3,
PA,Bressler CDP,73.7,17.9,0.1,0.5,10.3,55917,86.5,18.4,
PA,Briar Creek borough,97.4,0.3,0.2,0.5,0.6,21181,79.3,33,
PA,Brickerville CDP,97.4,1.1,0,0.2,1.4,80139,90.6,0.5,
PA,Bridgeport borough,79.8,7.9,0.3,2.8,12.8,52607,89.7,9.4,
PA,Bridgeville borough,92.2,4.2,0.1,1.2,1.1,44893,91.5,9.7,
PA,Bridgewater borough,92.8,5.3,0,0.4,1,51083,91.2,8.3,
PA,Brisbin borough,98.3,0.2,0.2,0,2.2,42917,83.5,10.5,
PA,Bristol borough,81.1,9.5,0.2,0.6,14.2,41701,88.2,14.2,
PA,Brittany Farms-The Highlands CDP,92.6,2.1,0,3.7,2.5,85917,93.3,1.9,
PA,Broad Top City borough,98.5,0,0,0,0.4,55313,83.3,13.4,
PA,Brockway borough,98.8,0.1,0,0.2,0.3,40438,95,13.8,
PA,Brodheadsville CDP,88.6,6.6,0.4,0.9,7.6,53406,92.4,8.7,
PA,Brookhaven borough,92.4,3.7,0.1,1.9,2,65130,90.4,4.8,
PA,Brookville borough,97.8,0.4,0.1,0.4,1.1,40162,91.9,15.8,
PA,Broomall CDP,89.1,1.8,0,7.7,1.4,76010,91,3.5,
PA,Brownstown borough,99.3,0.1,0,0.1,0.7,44583,95.1,16.4,
PA,Brownstown CDP,94.6,0.4,0,2.5,3.2,59398,77.9,7.2,
PA,Brownsville borough,81.4,13.5,0.1,0.1,0.6,25819,80.9,30.5,
PA,Browntown CDP,98.4,0.4,0.1,0,1.5,54330,88.6,2.8,
PA,Bruin borough,98.5,0,0.8,0.4,1.9,43654,84,15.4,
PA,Bryn Athyn borough,92.5,2.7,0,2.5,1.2,97500,94.8,7.3,
PA,Bryn Mawr CDP,74,10.5,0,10.7,4.9,61932,96.8,19.6,
PA,Buckhorn CDP,94,0.9,0,3.5,2.8,45469,90,16.4,
PA,Buck Run CDP,100,0,0,0,0,30000,89.7,16.2,
PA,Buffington CDP,84.2,14,0,0.3,0.3,(X),68,22.4,
PA,Bulger CDP,95.8,0.5,0,0.7,0.7,51250,100,28.9,
PA,Burgettstown borough,96,1.7,0.1,0.4,1.4,42738,87.7,9.5,
PA,Burlington borough,97.4,0,0,0,1.3,53571,94.7,3.4,
PA,Burnham borough,98,0.4,0,0.2,1.5,43852,87.7,10.3,
PA,Burnside borough,100,0,0,0,0.4,38958,89.4,18.1,
PA,Butler city,93.6,2.7,0.2,0.5,2.4,31136,69.4,33,
PA,Byrnedale CDP,96,0.2,0,0.5,0,46250,94,32.8,
PA,Cairnbrook CDP,99.8,0,0,0,0.2,43750,88.3,6.3,
PA,California borough,91,6.6,0.2,0.5,1.5,36806,90.4,26.6,
PA,Callensburg borough,99.5,0,0.5,0,1,33036,71.1,36.8,
PA,Callery borough,96.4,0,0,0.5,0.5,62250,88.6,6.1,
PA,Callimont borough,97.6,0,0,0,0,76250,75,7.5,
PA,Caln CDP,65.2,26.7,0.4,1.3,10.7,54934,89.4,12.7,
PA,Calumet CDP,99.3,0.1,0.2,0,0.3,49297,89.4,10.2,
PA,Cambridge Springs borough,84.9,12.8,0.3,0.3,3.5,45694,87.5,14.6,
PA,Campbelltown CDP,95,1,0.1,2.3,2.3,65197,95.6,3.2,
PA,Camp Hill borough,88.8,1.8,0.1,6.7,2.7,67888,96.1,4.2,
PA,Canadohta Lake CDP,98.8,0,0,0,1.2,35500,91.3,7.1,
PA,Canonsburg borough,87.4,7.6,0.1,1,1.8,46547,90.7,11.2,
PA,Canton borough,97.4,0.1,0.3,0.1,1.4,35357,89,21.7,
PA,Carbondale city,96.3,1,0.2,0.4,3.1,17764,93.1,49.3,
PA,Carlisle borough,84.3,8.3,0.2,2.3,4.5,47672,90.4,18.8,
PA,Carmichaels borough,96.7,0.8,0,0,0.4,36250,88.6,15.2,
PA,Carnegie borough,87.7,7.4,0.2,1.6,1.6,40838,93,23.2,
PA,Carnot-Moon CDP,86.8,6.4,0.1,3.5,2.5,57639,93.1,12.5,
PA,Carrolltown borough,98.8,0.2,0,0,0.5,47614,89.9,10.5,
PA,Carroll Valley borough,97.3,0.6,0.2,0.5,1.4,85417,97.6,1.3,
PA,Cashtown CDP,97.6,0.2,0.2,0,5.9,54000,100,9.3,
PA,Cassandra borough,97.3,0,0,0,0,33750,89.5,17.4,
PA,Casselman borough,100,0,0,0,0,43750,86.5,16.3,
PA,Cassville borough,99.3,0,0,0,0,39583,89,18.4,
PA,Castanea CDP,98,0.2,0.1,0.3,0.4,40536,93.3,12,
PA,Castle Shannon borough,93.9,2,0,2.4,1.1,47436,93.2,15,
PA,Catasauqua borough,89,3,0.1,0.6,10.5,50243,89.9,17.6,
PA,Catawissa borough,97.1,0.5,0.1,0.2,1.6,32333,88.8,19.8,
PA,Cecil-Bishop CDP,97.6,1,0,0.3,0.7,80606,94.4,2.1,
PA,Cedar Crest CDP,97.4,0,0,0,1,75224,90.1,12.3,
PA,Cementon CDP,90,2.4,0.1,2,6.9,57839,89.1,4.9,
PA,Centerport borough,96.4,0.5,0.5,0,3.6,43375,87.2,3.8,
PA,Centerville borough (Crawford County),100,0,0,0,0.5,28125,81.8,22.9,
PA,Centerville borough (Washington County),96.5,1.2,0.2,0.2,1.1,49679,91.1,14.8,
PA,Central City borough,99.7,0,0.1,0,0.1,41875,89.5,12.5,
PA,Centralia borough,100,0,0,0,0,(X),81.8,0,
PA,Centre Hall borough,99,0.1,0.1,0.3,0.6,58594,94.9,6,
PA,Cetronia CDP,93,2.4,0,1.5,5.6,57031,94.8,6.2,
PA,Chalfant borough,85.9,8.1,0.8,0.5,0.4,49922,93.6,8.9,
PA,Chalfont borough,94.1,1.4,0.3,3,1.7,84706,93.5,3.5,
PA,Chalkhill CDP,100,0,0,0,0,(X),100,0,
PA,Chambersburg borough,77,9.2,0.3,1.4,15.7,41751,81.1,22.3,
PA,Chapman borough,98,0.5,0.5,0,1.5,53750,89.2,14.5,
PA,Charleroi borough,90,5.7,0.1,1,1.9,28309,87.4,27.8,
PA,Chase CDP,97.8,0.3,0,0.9,1.1,-,65.2,0,
PA,Cherry Tree borough,98.9,0,0,0.3,1.1,35865,85.8,20.5,
PA,Cherry Valley borough,98.5,1.5,0,0,0,43750,100,3.8,
PA,Cherryville CDP,96.5,0.9,0,1.5,3.1,69523,97.1,2,
PA,Chester city,17.2,74.7,0.4,0.6,9,41764,70.4,19.9,
PA,Chesterbrook CDP,79.1,3.6,0,15.7,2.4,108072,97.8,2.9,
PA,Chester Heights borough,92.1,3.3,0,3.2,1.5,78785,96.7,4.4,
PA,Chester Hill borough,96.9,0.6,0,0.9,0.6,40000,89,25.9,
PA,Chest Springs borough,100,0,0,0,0,47500,90.4,15.3,
PA,Cheswick borough,98.8,0.2,0.1,0.4,0.6,54573,95.8,8.1,
PA,Chevy Chase Heights CDP,86.8,9,0.6,0.5,0.7,36165,92.3,16,
PA,Chewton CDP,98.6,0.4,0,0.4,0.8,52981,90.3,10.1,
PA,Cheyney University CDP,2.7,92.6,0.7,0.2,3.9,-,100,0,
PA,Chicora borough,98.9,0.2,0,0.3,0.4,44318,97,10.5,
PA,Chinchilla CDP,96.9,0.5,0.1,1.2,1.3,50441,93.9,8.3,
PA,Christiana borough,90.9,6,0.2,0.3,6.8,52321,80.6,13.5,
PA,Church Hill CDP,98.5,0.2,0.2,0.7,0.6,55046,93.7,3.5,
PA,Churchill borough,81.9,13.8,0,2.7,1.8,86616,99,2.8,
PA,Churchtown CDP,98.5,0,1.1,0,0.6,70000,73.8,0,
PA,Churchville CDP,96.4,0.5,0,2.1,1.2,122382,98.3,1.9,
PA,Clairton city,58.5,37.6,0.1,0.3,1.6,30207,91.8,28.6,
PA,Clarence CDP,99.7,0,0.3,0,0.3,69821,94.2,12,
PA,Clarendon borough,98.9,0.7,0.2,0,0.7,33542,80.9,30.4,
PA,Clarion borough,91,5,0.1,1.9,1,33922,93.5,33,
PA,Clark borough,98.4,0.2,0,0,0.5,64318,91.9,11.2,
PA,Clarks Green borough,96.6,0.7,0.1,2,1.5,74554,98.8,3.2,
PA,Clarks Summit borough,97,0.7,0,1.2,1.4,63125,94.8,2,
PA,Clarksville borough,97.4,2.2,0,0,0.4,58125,85.5,19.5,
PA,Clay CDP,94.5,0.3,0.3,2.8,2.6,72500,89.4,4.7,
PA,Claysburg CDP,98.2,0.4,0,0.1,0.9,41250,85.9,21.7,
PA,Claysville borough,97.1,0.5,0.4,0.4,0.6,45000,90.1,15.8,
PA,Clearfield borough,97.3,0.8,0.1,0.4,0.9,37070,88.1,16.8,
PA,Cleona borough,95.4,1,0.3,1,3.1,58017,95.2,4.9,
PA,Clifton Heights borough,82.3,11.4,0.2,3.3,2.2,42129,90.3,13.3,
PA,Clinton CDP,99.3,0.5,0.2,0,0.7,63240,94.4,8.7,
